date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:38:11	1666/1666	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2001%20Aug%202022%2008:08:15%20GMT	https://stake.us/_app/chunks/index-c5a03082.js	C:/My%20Web%20Sites/Stake%20clown/stake.us/_app/chunks/index-c5a03082.js	(from https://stake.us/?)
18:38:11	858/858	---M--	200	added ('OK')	application/javascript	date:Mon,%2001%20Aug%202022%2008:08:15%20GMT	https://stake.us/_app/chunks/variables-863c2d32.js	C:/My%20Web%20Sites/Stake%20clown/stake.us/_app/chunks/variables-863c2d32.js	(from https://stake.us/?)
18:38:11	430/430	---M--	200	added ('OK')	application/javascript	date:Mon,%2001%20Aug%202022%2008:08:15%20GMT	https://stake.us/_app/chunks/shared-dc1dad71.js	C:/My%20Web%20Sites/Stake%20clown/stake.us/_app/chunks/shared-dc1dad71.js	(from https://stake.us/?)
18:38:11	14303/14303	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2001%20Aug%202022%2008:08:15%20GMT	https://stake.us/_app/chunks/index-101fb270.js	C:/My%20Web%20Sites/Stake%20clown/stake.us/_app/chunks/index-101fb270.js	(from https://stake.us/?)
18:38:11	94005/94005	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2001%20Aug%202022%2008:08:15%20GMT	https://stake.us/_app/chunks/utils-2db7bfcb.js	C:/My%20Web%20Sites/Stake%20clown/stake.us/_app/chunks/utils-2db7bfcb.js	(from https://stake.us/?)
18:38:12	739/739	---M--	200	added ('OK')	application/javascript	date:Mon,%2001%20Aug%202022%2008:08:15%20GMT	https://stake.us/_app/chunks/query-string-674ed16b.js	C:/My%20Web%20Sites/Stake%20clown/stake.us/_app/chunks/query-string-674ed16b.js	(from https://stake.us/?)
18:38:12	459/459	---M--	200	added ('OK')	application/javascript	date:Mon,%2001%20Aug%202022%2008:08:15%20GMT	https://stake.us/_app/chunks/index-78395626.js	C:/My%20Web%20Sites/Stake%20clown/stake.us/_app/chunks/index-78395626.js	(from https://stake.us/?)
18:38:12	3425/3425	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2001%20Aug%202022%2008:08:15%20GMT	https://stake.us/_app/chunks/index-6a61ceab.js	C:/My%20Web%20Sites/Stake%20clown/stake.us/_app/chunks/index-6a61ceab.js	(from https://stake.us/?)
18:38:12	1105/1105	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2001%20Aug%202022%2008:08:15%20GMT	https://stake.us/_app/chunks/context-fa7439dc.js	C:/My%20Web%20Sites/Stake%20clown/stake.us/_app/chunks/context-fa7439dc.js	(from https://stake.us/?)
18:38:13	2363/2363	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2001%20Aug%202022%2008:08:15%20GMT	https://stake.us/_app/chunks/index-7857f4f9.js	C:/My%20Web%20Sites/Stake%20clown/stake.us/_app/chunks/index-7857f4f9.js	(from https://stake.us/?)
18:38:13	5216/5216	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2001%20Aug%202022%2008:08:15%20GMT	https://stake.us/_app/chunks/index-b069bb96.js	C:/My%20Web%20Sites/Stake%20clown/stake.us/_app/chunks/index-b069bb96.js	(from https://stake.us/?)
18:38:13	845/845	---M--	200	added ('OK')	application/javascript	date:Mon,%2001%20Aug%202022%2008:08:15%20GMT	https://stake.us/_app/chunks/sessionInfo-312c9146.js	C:/My%20Web%20Sites/Stake%20clown/stake.us/_app/chunks/sessionInfo-312c9146.js	(from https://stake.us/?)
18:38:13	585/585	---M--	200	added ('OK')	application/javascript	date:Mon,%2001%20Aug%202022%2008:08:15%20GMT	https://stake.us/_app/chunks/UserSession.generated-47f74936.js	C:/My%20Web%20Sites/Stake%20clown/stake.us/_app/chunks/UserSession.generated-47f74936.js	(from https://stake.us/?)
18:38:13	391/391	---M--	200	added ('OK')	application/javascript	date:Mon,%2001%20Aug%202022%2008:08:15%20GMT	https://stake.us/_app/chunks/helpers-3511dbf4.js	C:/My%20Web%20Sites/Stake%20clown/stake.us/_app/chunks/helpers-3511dbf4.js	(from https://stake.us/?)
18:38:14	1487/1487	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2001%20Aug%202022%2008:08:15%20GMT	https://stake.us/_app/chunks/index-c961e4f3.js	C:/My%20Web%20Sites/Stake%20clown/stake.us/_app/chunks/index-c961e4f3.js	(from https://stake.us/?)
18:38:14	4572/4572	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2001%20Aug%202022%2008:08:15%20GMT	https://stake.us/_app/chunks/index-4e53ca7a.js	C:/My%20Web%20Sites/Stake%20clown/stake.us/_app/chunks/index-4e53ca7a.js	(from https://stake.us/?)
18:38:14	1786/1786	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2001%20Aug%202022%2008:08:15%20GMT	https://stake.us/_app/chunks/index-743ec33a.js	C:/My%20Web%20Sites/Stake%20clown/stake.us/_app/chunks/index-743ec33a.js	(from https://stake.us/?)
18:38:14	4051/4051	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2001%20Aug%202022%2008:08:15%20GMT	https://stake.us/_app/chunks/index-010e6e06.js	C:/My%20Web%20Sites/Stake%20clown/stake.us/_app/chunks/index-010e6e06.js	(from https://stake.us/?)
18:38:14	2135/2135	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2001%20Aug%202022%2008:08:15%20GMT	https://stake.us/_app/chunks/index-041d0ef1.js	C:/My%20Web%20Sites/Stake%20clown/stake.us/_app/chunks/index-041d0ef1.js	(from https://stake.us/?)
18:38:15	2156/2156	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2001%20Aug%202022%2008:08:15%20GMT	https://stake.us/_app/chunks/index-5f6739d0.js	C:/My%20Web%20Sites/Stake%20clown/stake.us/_app/chunks/index-5f6739d0.js	(from https://stake.us/?)
18:38:15	2583/2583	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2001%20Aug%202022%2008:08:15%20GMT	https://stake.us/_app/chunks/index-aee9f5f4.js	C:/My%20Web%20Sites/Stake%20clown/stake.us/_app/chunks/index-aee9f5f4.js	(from https://stake.us/?)
18:38:15	2355/2355	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2001%20Aug%202022%2008:08:15%20GMT	https://stake.us/_app/chunks/index-dde39cdb.js	C:/My%20Web%20Sites/Stake%20clown/stake.us/_app/chunks/index-dde39cdb.js	(from https://stake.us/?)
18:38:15	1344/1344	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2001%20Aug%202022%2008:08:15%20GMT	https://stake.us/_app/chunks/index-6a93cc39.js	C:/My%20Web%20Sites/Stake%20clown/stake.us/_app/chunks/index-6a93cc39.js	(from https://stake.us/?)
